County,Sex,Age,Age_num,County_code,County_name,Year,Population
F-50 Trøndelag - Trööndelage,F,30 years,30,F-50,Trøndelag,2015,2852
F-50 Trøndelag - Trööndelage,F,31 years,31,F-50,Trøndelag,2015,2707
F-50 Trøndelag - Trööndelage,F,32 years,32,F-50,Trøndelag,2015,2833
F-50 Trøndelag - Trööndelage,F,33 years,33,F-50,Trøndelag,2015,2693
F-50 Trøndelag - Trööndelage,F,34 years,34,F-50,Trøndelag,2015,2655
F-50 Trøndelag - Trööndelage,F,35 years,35,F-50,Trøndelag,2015,2599
F-50 Trøndelag - Trööndelage,F,36 years,36,F-50,Trøndelag,2015,2637
F-50 Trøndelag - Trööndelage,F,37 years,37,F-50,Trøndelag,2015,2593
F-50 Trøndelag - Trööndelage,F,38 years,38,F-50,Trøndelag,2015,2628
F-50 Trøndelag - Trööndelage,F,39 years,39,F-50,Trøndelag,2015,2768
F-50 Trøndelag - Trööndelage,F,40 years,40,F-50,Trøndelag,2015,2913
F-50 Trøndelag - Trööndelage,F,41 years,41,F-50,Trøndelag,2015,2964
F-50 Trøndelag - Trööndelage,F,42 years,42,F-50,Trøndelag,2015,2996
F-50 Trøndelag - Trööndelage,F,43 years,43,F-50,Trøndelag,2015,3063
F-50 Trøndelag - Trööndelage,F,44 years,44,F-50,Trøndelag,2015,3109
F-50 Trøndelag - Trööndelage,F,45 years,45,F-50,Trøndelag,2015,3142
F-50 Trøndelag - Trööndelage,F,46 years,46,F-50,Trøndelag,2015,3252
F-50 Trøndelag - Trööndelage,F,47 years,47,F-50,Trøndelag,2015,3028
F-50 Trøndelag - Trööndelage,F,48 years,48,F-50,Trøndelag,2015,3085
F-50 Trøndelag - Trööndelage,F,49 years,49,F-50,Trøndelag,2015,3069
F-50 Trøndelag - Trööndelage,F,50 years,50,F-50,Trøndelag,2015,2903
F-50 Trøndelag - Trööndelage,F,51 years,51,F-50,Trøndelag,2015,2846
F-50 Trøndelag - Trööndelage,F,52 years,52,F-50,Trøndelag,2015,2731
F-50 Trøndelag - Trööndelage,F,53 years,53,F-50,Trøndelag,2015,2708
F-50 Trøndelag - Trööndelage,F,54 years,54,F-50,Trøndelag,2015,2708
F-50 Trøndelag - Trööndelage,F,55 years,55,F-50,Trøndelag,2015,2698
F-50 Trøndelag - Trööndelage,F,56 years,56,F-50,Trøndelag,2015,2602
F-50 Trøndelag - Trööndelage,F,57 years,57,F-50,Trøndelag,2015,2619
F-50 Trøndelag - Trööndelage,F,58 years,58,F-50,Trøndelag,2015,2711
F-50 Trøndelag - Trööndelage,F,59 years,59,F-50,Trøndelag,2015,2739
F-50 Trøndelag - Trööndelage,F,60 years,60,F-50,Trøndelag,2015,2613
F-50 Trøndelag - Trööndelage,F,61 years,61,F-50,Trøndelag,2015,2618
F-50 Trøndelag - Trööndelage,F,62 years,62,F-50,Trøndelag,2015,2521
F-50 Trøndelag - Trööndelage,F,63 years,63,F-50,Trøndelag,2015,2454
F-50 Trøndelag - Trööndelage,F,64 years,64,F-50,Trøndelag,2015,2438
F-50 Trøndelag - Trööndelage,F,65 years,65,F-50,Trøndelag,2015,2359
F-50 Trøndelag - Trööndelage,F,66 years,66,F-50,Trøndelag,2015,2483
F-50 Trøndelag - Trööndelage,F,67 years,67,F-50,Trøndelag,2015,2454
F-50 Trøndelag - Trööndelage,F,68 years,68,F-50,Trøndelag,2015,2539
F-50 Trøndelag - Trööndelage,F,69 years,69,F-50,Trøndelag,2015,2379
F-50 Trøndelag - Trööndelage,F,70 years,70,F-50,Trøndelag,2015,2168
F-50 Trøndelag - Trööndelage,F,71 years,71,F-50,Trøndelag,2015,2005
F-50 Trøndelag - Trööndelage,F,72 years,72,F-50,Trøndelag,2015,1832
F-50 Trøndelag - Trööndelage,F,73 years,73,F-50,Trøndelag,2015,1611
F-50 Trøndelag - Trööndelage,F,74 years,74,F-50,Trøndelag,2015,1552
F-50 Trøndelag - Trööndelage,F,75 years,75,F-50,Trøndelag,2015,1541
F-50 Trøndelag - Trööndelage,F,76 years,76,F-50,Trøndelag,2015,1388
F-50 Trøndelag - Trööndelage,F,77 years,77,F-50,Trøndelag,2015,1237
F-50 Trøndelag - Trööndelage,F,78 years,78,F-50,Trøndelag,2015,1231
F-50 Trøndelag - Trööndelage,F,79 years,79,F-50,Trøndelag,2015,1239
F-50 Trøndelag - Trööndelage,F,80 years,80,F-50,Trøndelag,2015,1181
F-50 Trøndelag - Trööndelage,F,81 years,81,F-50,Trøndelag,2015,1064
F-50 Trøndelag - Trööndelage,F,82 years,82,F-50,Trøndelag,2015,1153
F-50 Trøndelag - Trööndelage,F,83 years,83,F-50,Trøndelag,2015,1061
F-50 Trøndelag - Trööndelage,F,84 years,84,F-50,Trøndelag,2015,977
F-50 Trøndelag - Trööndelage,F,85 years,85,F-50,Trøndelag,2015,912
F-50 Trøndelag - Trööndelage,F,86 years,86,F-50,Trøndelag,2015,943
F-50 Trøndelag - Trööndelage,F,87 years,87,F-50,Trøndelag,2015,825
F-50 Trøndelag - Trööndelage,F,88 years,88,F-50,Trøndelag,2015,804
F-50 Trøndelag - Trööndelage,F,89 years,89,F-50,Trøndelag,2015,659
F-50 Trøndelag - Trööndelage,F,90 years,90,F-50,Trøndelag,2015,601
F-50 Trøndelag - Trööndelage,F,91 years,91,F-50,Trøndelag,2015,489
F-50 Trøndelag - Trööndelage,F,92 years,92,F-50,Trøndelag,2015,445
F-50 Trøndelag - Trööndelage,F,93 years,93,F-50,Trøndelag,2015,333
F-50 Trøndelag - Trööndelage,F,94 years,94,F-50,Trøndelag,2015,246
F-50 Trøndelag - Trööndelage,F,95 years,95,F-50,Trøndelag,2015,173
F-50 Trøndelag - Trööndelage,F,96 years,96,F-50,Trøndelag,2015,139
F-50 Trøndelag - Trööndelage,F,97 years,97,F-50,Trøndelag,2015,99
F-50 Trøndelag - Trööndelage,F,98 years,98,F-50,Trøndelag,2015,65
F-50 Trøndelag - Trööndelage,F,99 years,99,F-50,Trøndelag,2015,39
F-50 Trøndelag - Trööndelage,F,100 years,100,F-50,Trøndelag,2015,13
F-50 Trøndelag - Trööndelage,F,101 years,101,F-50,Trøndelag,2015,11
F-50 Trøndelag - Trööndelage,F,102 years,102,F-50,Trøndelag,2015,5
F-50 Trøndelag - Trööndelage,F,103 years,103,F-50,Trøndelag,2015,7
F-50 Trøndelag - Trööndelage,F,104 years,104,F-50,Trøndelag,2015,3
F-50 Trøndelag - Trööndelage,F,105 years or older,105,F-50,Trøndelag,2015,1
F-50 Trøndelag - Trööndelage,M,0 years,0,F-50,Trøndelag,2015,2660
F-50 Trøndelag - Trööndelage,M,1 year,1,F-50,Trøndelag,2015,2703
F-50 Trøndelag - Trööndelage,M,2 years,2,F-50,Trøndelag,2015,2661
F-50 Trøndelag - Trööndelage,M,3 years,3,F-50,Trøndelag,2015,2804
F-50 Trøndelag - Trööndelage,M,4 years,4,F-50,Trøndelag,2015,2805
F-50 Trøndelag - Trööndelage,M,5 years,5,F-50,Trøndelag,2015,2851
F-50 Trøndelag - Trööndelage,M,6 years,6,F-50,Trøndelag,2015,2846
F-50 Trøndelag - Trööndelage,M,7 years,7,F-50,Trøndelag,2015,2732
F-50 Trøndelag - Trööndelage,M,8 years,8,F-50,Trøndelag,2015,2783
F-50 Trøndelag - Trööndelage,M,9 years,9,F-50,Trøndelag,2015,2659
F-50 Trøndelag - Trööndelage,M,10 years,10,F-50,Trøndelag,2015,2708
